dealt,desired,first_to_play,dealer,wild_suit,player0desired,player1desired,player2desired,player3desired,result,hand1,hand2,hand3,hand4,hand5,hand6,hand7,hand8,hand9,deciding_player
8,1,0,0,0,3,0,-1,-1,1,30,4,5,3,8,12,25,17,44,2
5,0,1,3,1,-1,-1,-1,-1,1,0,13,20,15,28,44,44,44,44,1
4,1,2,0,0,-1,-1,2,-1,1,30,23,26,13,44,44,44,44,44,3
3,1,1,1,1,-1,-1,-1,-1,1,33,29,27,44,44,44,44,44,44,1
3,0,1,1,1,-1,1,0,-1,1,28,18,26,44,44,44,44,44,44,3
2,0,0,2,4,-1,-1,-1,-1,1,6,19,44,44,44,44,44,44,44,0
2,0,0,2,4,0,0,1,-1,1,16,31,44,44,44,44,44,44,44,3
1,0,1,3,0,-1,0,0,0,1,18,44,44,44,44,44,44,44,44,0
1,0,1,3,0,-1,-1,-1,-1,1,20,44,44,44,44,44,44,44,44,1
1,0,1,3,0,-1,0,0,-1,1,21,44,44,44,44,44,44,44,44,3
9,1,0,1,0,2,-1,-1,-1,1,21,8,17,24,9,12,25,34,29,1
9,0,0,1,0,2,1,-1,-1,1,1,4,16,5,0,7,20,13,27,2
9,2,0,3,0,-1,-1,-1,-1,1,22,30,0,12,23,5,3,20,15,0
1,0,1,0,1,-1,0,1,1,1,15,44,44,44,44,44,44,44,44,0
1,0,1,0,1,-1,-1,-1,-1,1,4,44,44,44,44,44,44,44,44,1
1,1,1,0,1,-1,0,1,-1,1,3,44,44,44,44,44,44,44,44,3
2,0,3,1,0,-1,-1,-1,1,1,20,24,44,44,44,44,44,44,44,0
3,0,1,2,1,-1,-1,-1,-1,1,10,26,22,44,44,44,44,44,44,1
3,1,1,2,1,-1,0,-1,-1,1,13,29,11,44,44,44,44,44,44,2
4,0,3,3,1,1,-1,-1,3,1,16,30,2,15,44,44,44,44,44,1
5,0,0,0,0,-1,-1,-1,-1,1,7,11,5,8,3,44,44,44,44,0
5,1,0,0,0,0,-1,-1,-1,1,30,15,2,9,21,44,44,44,44,1
7,2,1,2,3,-1,-1,-1,-1,1,7,34,0,5,23,19,29,44,44,1
9,2,3,0,2,-1,-1,-1,6,1,28,29,0,10,25,11,18,34,31,0
9,1,0,2,2,2,-1,-1,-1,1,3,16,22,25,8,30,2,24,6,1
9,1,0,3,2,-1,-1,-1,-1,1,23,34,10,18,17,3,9,7,0,0
9,1,0,3,2,1,2,-1,-1,1,32,5,14,21,22,29,19,16,13,2
8,5,1,0,3,-1,3,-1,-1,1,20,19,1,5,31,25,26,12,44,2
6,0,3,2,3,-1,-1,-1,5,1,20,12,7,10,1,3,44,44,44,0
6,1,3,2,3,0,1,-1,5,1,2,9,24,6,34,34,44,44,44,2
4,1,3,0,2,-1,-1,-1,0,1,8,3,34,21,44,44,44,44,44,0
4,0,3,0,2,-1,-1,-1,-1,1,27,33,29,0,44,44,44,44,44,3
3,0,1,1,0,-1,1,3,0,1,0,5,19,44,44,44,44,44,44,0
2,0,1,2,0,-1,0,-1,-1,1,21,1,44,44,44,44,44,44,44,2
1,1,3,3,0,-1,-1,-1,1,1,30,44,44,44,44,44,44,44,44,0
1,0,3,3,0,1,-1,-1,1,1,4,44,44,44,44,44,44,44,44,1
9,2,0,1,0,1,-1,-1,-1,1,13,31,15,17,29,30,34,25,4,1
9,1,3,3,0,2,-1,-1,2,1,8,17,16,13,24,26,33,11,7,1
9,2,3,3,0,-1,-1,-1,-1,1,3,5,31,27,20,4,6,0,15,3
1,1,0,3,1,-1,-1,-1,-1,1,31,44,44,44,44,44,44,44,44,0
1,0,0,3,1,1,-1,-1,-1,1,20,44,44,44,44,44,44,44,44,1
2,0,0,0,2,1,1,-1,-1,1,31,7,44,44,44,44,44,44,44,2
2,0,0,0,2,1,1,0,-1,1,0,30,44,44,44,44,44,44,44,3
4,1,0,2,1,-1,-1,-1,-1,1,33,13,31,21,44,44,44,44,44,0
5,0,3,3,3,-1,-1,-1,2,1,4,20,3,10,2,44,44,44,44,0
5,1,3,3,3,0,2,-1,2,1,15,9,14,8,34,44,44,44,44,2
9,4,2,3,3,-1,-1,3,4,1,21,23,12,4,29,20,33,25,3,0
9,3,2,3,3,-1,-1,-1,-1,1,27,15,19,17,13,31,14,34,16,2
9,2,0,0,3,0,-1,-1,-1,1,0,34,24,29,11,8,16,9,17,1
9,3,2,1,3,-1,-1,3,3,1,29,34,21,18,14,13,0,15,20,0
9,2,1,2,3,-1,2,1,3,1,19,13,34,30,15,11,16,18,29,0
7,1,2,0,2,-1,-1,1,2,1,29,20,30,22,11,1,9,44,44,0
7,0,2,0,2,1,-1,1,2,1,8,5,26,31,21,10,3,44,44,1
6,1,2,1,1,-1,-1,0,5,1,9,3,17,31,4,0,44,44,44,0
6,1,2,1,1,1,-1,0,5,1,34,33,10,8,29,12,44,44,44,1
5,1,2,2,0,-1,-1,-1,-1,1,31,4,12,10,28,44,44,44,44,2
3,0,2,0,0,0,-1,2,0,1,7,8,33,44,44,44,44,44,44,1
3,0,2,0,0,-1,-1,2,-1,1,22,29,9,44,44,44,44,44,44,3
