dealt,desired,first_to_play,dealer,wild_suit,player0desired,player1desired,player2desired,player3desired,result,hand1,hand2,hand3,hand4,hand5,hand6,hand7,hand8,hand9,deciding_player
1,0,3,2,2,-1,-1,-1,0,1,8,44,44,44,44,44,44,44,44,0
1,0,3,2,2,0,0,-1,0,1,7,44,44,44,44,44,44,44,44,2
1,0,3,2,2,-1,-1,-1,-1,1,26,44,44,44,44,44,44,44,44,3
2,0,1,3,3,-1,0,2,1,1,6,13,44,44,44,44,44,44,44,0
2,0,1,3,3,-1,-1,-1,-1,1,19,32,44,44,44,44,44,44,44,1
2,2,1,3,3,-1,0,-1,-1,1,29,34,44,44,44,44,44,44,44,2
3,0,2,0,2,-1,-1,2,1,1,7,13,6,44,44,44,44,44,44,0
3,2,2,0,2,-1,-1,-1,-1,1,34,21,31,44,44,44,44,44,44,2
3,1,2,0,2,-1,-1,2,-1,1,12,5,16,44,44,44,44,44,44,3
4,1,3,1,3,-1,-1,-1,4,1,21,5,2,13,44,44,44,44,44,0
5,0,0,2,1,1,-1,-1,-1,1,9,12,7,21,25,44,44,44,44,1
6,1,0,3,0,1,0,-1,-1,1,30,13,19,15,25,31,44,44,44,2
7,2,3,0,3,1,-1,-1,5,1,29,10,12,34,24,1,11,44,44,1
9,3,1,2,1,-1,0,1,2,1,23,29,3,10,22,34,13,34,25,0
9,0,1,2,1,-1,-1,-1,-1,1,21,12,16,18,28,6,2,8,17,1
9,1,3,3,1,-1,-1,-1,4,1,0,6,12,23,17,8,20,14,28,0
8,1,1,2,0,-1,-1,-1,-1,1,34,27,29,31,28,10,20,21,44,1
7,0,1,3,1,-1,2,0,4,1,8,33,32,0,17,9,34,44,44,0
6,0,2,0,1,-1,-1,5,4,1,0,14,26,17,12,10,44,44,44,0
4,1,0,2,2,-1,-1,-1,-1,1,30,32,17,16,44,44,44,44,44,0
3,0,1,3,0,-1,-1,-1,-1,1,12,6,29,44,44,44,44,44,44,1
3,0,1,3,0,-1,0,3,-1,1,3,5,26,44,44,44,44,44,44,3
2,0,0,0,0,1,-1,-1,-1,1,23,28,44,44,44,44,44,44,44,1
1,0,0,1,1,-1,-1,-1,-1,1,6,44,44,44,44,44,44,44,44,0
1,1,0,1,1,0,-1,-1,-1,1,19,44,44,44,44,44,44,44,44,1
1,0,0,1,1,0,1,1,-1,1,17,44,44,44,44,44,44,44,44,3
9,2,1,2,1,-1,-1,-1,-1,1,6,5,33,14,8,19,7,34,4,1
9,4,1,2,1,-1,2,9,-1,1,29,23,24,18,21,26,27,9,3,3
9,2,0,1,1,1,-1,-1,-1,1,20,10,34,2,8,5,15,23,30,1
1,0,3,2,3,0,-1,-1,1,1,11,44,44,44,44,44,44,44,44,1
2,0,0,3,0,-1,-1,-1,-1,1,14,31,44,44,44,44,44,44,44,0
2,2,0,3,0,0,-1,-1,-1,1,34,22,44,44,44,44,44,44,44,1
3,1,1,0,2,-1,0,3,3,1,20,33,25,44,44,44,44,44,44,0
3,0,1,0,2,-1,-1,-1,-1,1,3,7,17,44,44,44,44,44,44,1
4,1,0,1,1,0,-1,-1,-1,1,25,9,17,19,44,44,44,44,44,1
5,0,2,2,2,2,-1,5,0,1,29,11,15,0,22,44,44,44,44,1
5,0,2,2,2,-1,-1,5,-1,1,8,10,4,9,12,44,44,44,44,3
6,1,0,3,1,1,-1,-1,-1,1,34,24,6,12,0,30,44,44,44,1
7,0,0,0,0,2,-1,-1,-1,1,1,24,17,3,14,5,31,44,44,1
8,1,0,1,1,1,-1,-1,-1,1,16,19,29,13,33,6,9,4,44,1
9,0,0,2,1,3,-1,-1,-1,1,14,21,32,24,18,11,16,4,33,1
9,0,3,3,1,-1,-1,-1,1,1,25,5,26,14,11,13,2,0,18,0
8,0,1,2,3,-1,1,2,-1,1,8,18,2,1,11,30,10,25,44,3
7,0,2,3,2,0,-1,1,2,1,29,17,33,12,16,31,13,44,44,1
6,0,2,0,2,-1,-1,4,4,1,1,2,26,11,21,17,44,44,44,0
6,1,2,0,2,0,-1,4,4,1,8,5,27,15,34,16,44,44,44,1
4,0,1,2,4,-1,0,4,3,1,11,13,17,28,44,44,44,44,44,0
3,1,1,3,3,-1,1,1,1,1,0,17,25,44,44,44,44,44,44,0
2,1,0,0,0,-1,-1,-1,-1,1,17,26,44,44,44,44,44,44,44,0
2,0,0,0,0,1,-1,-1,-1,1,32,9,44,44,44,44,44,44,44,1
1,0,0,1,0,0,-1,-1,-1,1,27,44,44,44,44,44,44,44,44,1
9,2,0,0,0,-1,-1,-1,-1,1,7,10,24,3,23,30,8,18,0,0
1,0,3,2,1,0,-1,-1,0,1,1,44,44,44,44,44,44,44,44,1
1,0,3,2,1,0,0,-1,0,1,10,44,44,44,44,44,44,44,44,2
1,0,3,2,1,-1,-1,-1,-1,1,25,44,44,44,44,44,44,44,44,3
2,0,0,3,1,-1,-1,-1,-1,1,6,28,44,44,44,44,44,44,44,0
3,1,3,0,2,-1,-1,-1,2,1,34,4,19,44,44,44,44,44,44,0
3,0,3,0,2,1,0,-1,2,1,20,31,8,44,44,44,44,44,44,2
5,0,1,2,1,-1,1,5,1,1,29,6,5,20,11,44,44,44,44,0
5,1,1,2,1,-1,-1,-1,-1,1,22,3,10,13,31,44,44,44,44,1
6,0,3,3,3,-1,-1,-1,3,1,32,10,23,8,6,14,44,44,44,0
6,2,3,3,3,0,-1,-1,3,1,7,28,21,34,11,15,44,44,44,1
6,1,3,3,3,0,2,-1,3,1,4,22,1,31,13,30,44,44,44,2
6,3,3,3,3,-1,-1,-1,-1,1,17,18,19,26,5,20,44,44,44,3
9,2,0,3,2,-1,-1,-1,-1,1,16,30,19,9,32,24,22,8,15,0
9,2,0,3,2,2,-1,-1,-1,1,1,31,14,4,34,20,23,6,29,1
9,0,2,0,2,-1,-1,0,3,1,8,19,23,31,29,13,14,5,15,0
9,3,2,0,2,-1,-1,0,-1,1,26,0,2,17,9,4,25,3,24,3
9,1,3,1,2,3,-1,-1,6,1,4,21,33,34,29,17,27,13,14,1
8,0,0,2,2,-1,-1,-1,-1,1,4,23,21,19,0,2,13,30,44,0
6,2,3,0,0,-1,-1,-1,2,1,13,31,10,18,21,34,44,44,44,0
5,2,1,1,3,-1,0,2,3,1,5,24,34,21,7,44,44,44,44,0
5,0,1,1,3,-1,-1,-1,-1,1,19,0,2,20,9,44,44,44,44,1
5,3,1,1,3,-1,0,2,-1,1,29,18,12,28,14,44,44,44,44,3
4,0,0,2,1,-1,-1,-1,-1,1,30,24,29,26,44,44,44,44,44,0
4,1,0,2,1,0,-1,-1,-1,1,34,6,20,18,44,44,44,44,44,1
3,0,2,3,3,-1,-1,0,2,1,26,22,6,44,44,44,44,44,44,0
3,0,2,3,3,-1,-1,-1,-1,1,18,15,21,44,44,44,44,44,44,2
1,1,0,1,2,-1,-1,-1,-1,1,34,44,44,44,44,44,44,44,44,0
1,0,0,1,2,1,-1,-1,-1,1,25,44,44,44,44,44,44,44,44,1
1,0,0,1,2,1,0,-1,-1,1,15,44,44,44,44,44,44,44,44,2
1,0,2,1,1,0,-1,0,1,1,20,44,44,44,44,44,44,44,44,1
1,0,2,1,1,-1,-1,-1,-1,1,5,44,44,44,44,44,44,44,44,2
3,1,1,3,1,-1,2,0,2,1,7,23,4,44,44,44,44,44,44,0
4,1,0,0,0,0,-1,-1,-1,1,18,33,31,8,44,44,44,44,44,1
5,0,0,1,3,1,-1,-1,-1,1,6,1,17,22,10,44,44,44,44,1
5,0,0,1,3,1,0,5,-1,1,32,28,30,19,3,44,44,44,44,3
7,1,0,3,0,1,-1,-1,-1,1,12,34,19,11,25,15,29,44,44,1
8,1,3,0,2,-1,-1,-1,1,1,17,26,5,21,14,0,34,25,44,0
8,1,3,0,2,1,-1,-1,1,1,18,31,33,1,13,24,23,10,44,1
9,1,2,1,2,-1,-1,9,2,1,20,18,2,14,21,3,29,15,13,0
9,2,2,1,2,-1,-1,9,-1,1,0,31,30,24,26,25,5,4,33,3
9,1,3,2,2,3,-1,-1,8,1,15,0,21,11,29,13,5,3,24,1
9,1,0,3,2,1,-1,-1,-1,1,2,11,13,20,7,15,9,8,10,1
9,1,2,0,2,1,-1,5,1,1,10,17,21,23,29,11,15,13,34,1
7,1,2,2,0,-1,-1,0,5,1,29,21,30,13,5,8,28,44,44,0
6,1,3,3,3,0,-1,-1,0,1,10,20,11,4,16,33,44,44,44,1
5,1,0,0,1,1,-1,-1,-1,1,12,34,6,1,18,44,44,44,44,1
5,0,0,0,1,1,1,-1,-1,1,9,2,17,3,0,44,44,44,44,2
4,0,0,1,1,-1,-1,-1,-1,1,20,12,24,0,44,44,44,44,44,0
3,0,2,2,4,0,-1,2,2,1,25,18,28,44,44,44,44,44,44,1
3,2,2,2,4,-1,-1,-1,-1,1,34,14,21,44,44,44,44,44,44,2
2,1,2,3,1,-1,-1,1,2,1,31,6,44,44,44,44,44,44,44,0
2,0,2,3,1,1,-1,1,2,1,4,10,44,44,44,44,44,44,44,1
2,1,2,3,1,-1,-1,-1,-1,1,34,26,44,44,44,44,44,44,44,2
1,0,0,0,0,-1,-1,-1,-1,1,12,44,44,44,44,44,44,44,44,0
1,0,0,0,0,0,-1,-1,-1,1,15,44,44,44,44,44,44,44,44,1
1,0,0,0,0,0,0,0,-1,1,11,44,44,44,44,44,44,44,44,3
9,3,2,2,0,-1,-1,-1,-1,1,1,16,23,34,9,22,34,25,21,2
9,1,1,3,0,-1,3,6,8,1,6,7,3,30,21,10,23,27,33,0
1,0,1,0,3,-1,0,0,1,1,12,44,44,44,44,44,44,44,44,0
1,0,1,0,3,-1,-1,-1,-1,1,1,44,44,44,44,44,44,44,44,1
2,0,2,1,1,-1,-1,0,0,1,20,14,44,44,44,44,44,44,44,0
2,0,2,1,1,0,-1,0,0,1,17,10,44,44,44,44,44,44,44,1
2,0,2,1,1,-1,-1,-1,-1,1,26,13,44,44,44,44,44,44,44,2
3,0,3,2,2,-1,-1,-1,1,1,6,21,10,44,44,44,44,44,44,0
3,0,3,2,2,0,-1,-1,1,1,3,9,25,44,44,44,44,44,44,1
3,0,3,2,2,0,0,-1,1,1,33,0,31,44,44,44,44,44,44,2
6,0,2,1,1,-1,-1,3,1,1,17,16,15,14,22,0,44,44,44,0
6,1,2,1,1,0,-1,3,1,1,34,29,1,9,30,21,44,44,44,1
7,1,2,2,0,-1,-1,6,4,1,29,6,7,13,22,21,20,44,44,0
8,2,2,3,3,-1,-1,3,6,1,27,19,23,3,34,33,22,31,44,0
8,0,2,3,3,2,-1,3,6,1,11,12,2,28,1,9,7,32,44,1
8,3,2,3,3,-1,-1,-1,-1,1,10,34,5,14,21,15,24,20,44,2
9,2,3,0,3,-1,-1,-1,4,1,7,29,27,17,14,11,0,30,25,0
9,1,2,1,3,-1,-1,2,0,1,1,27,31,21,8,6,10,9,22,0
9,0,2,1,3,1,-1,2,0,1,3,11,28,12,16,32,18,5,30,1
9,2,2,1,3,-1,-1,-1,-1,1,13,14,4,0,34,7,26,15,33,2
9,0,3,2,3,1,-1,-1,7,1,7,16,27,2,32,1,6,19,13,1
8,1,2,0,2,-1,-1,0,7,1,29,0,30,6,25,26,2,34,44,0
8,1,2,0,2,1,-1,0,7,1,23,8,10,18,20,7,17,9,44,1
7,3,3,1,1,2,2,-1,7,1,23,5,25,3,8,10,12,44,44,2
6,1,2,2,0,1,-1,1,0,1,4,27,34,33,24,29,44,44,44,1
5,1,0,3,1,2,-1,-1,-1,1,5,31,14,10,29,44,44,44,44,1
4,0,2,0,0,0,-1,1,4,1,0,24,31,1,44,44,44,44,44,1
4,1,2,0,0,-1,-1,-1,-1,1,6,28,7,27,44,44,44,44,44,2
3,0,0,1,4,-1,-1,-1,-1,1,8,29,27,44,44,44,44,44,44,0
2,0,1,2,2,-1,-1,-1,-1,1,18,5,44,44,44,44,44,44,44,1
1,1,0,3,3,1,-1,-1,-1,1,34,44,44,44,44,44,44,44,44,1
